X,Y,Z,tempo_obstaculo,tempo_total,pontuacao
X,Y,Z,tempo_obstaculo,tempo_total,pontuacao
11,-11,-1,2.05,2.05,0
12,-11,-1,2.57,2.57,0
12,-11,-1,3.06,3.06,0
11,-11,-1,3.57,3.57,0
14,-10,-1,4.07,4.07,0
18,-10,-1,4.58,4.58,0
19,-10,-1,5.08,5.08,0
19,-11,-1,5.59,5.59,0
19,-11,-1,6.09,6.09,0
15,-10,-1,6.60,6.60,0
7,-9,-1,7.09,7.09,0
7,-9,-1,7.59,7.59,0
7,-9,-1,8.10,8.10,0
18,-9,-1,8.60,8.60,0
19,-9,-1,9.11,9.11,0
20,-10,-1,9.61,9.61,0
21,-11,-1,10.12,10.12,0
17,-11,-1,10.61,10.61,0
6,-9,-1,11.13,11.13,0
11,-10,-1,11.62,11.62,0
11,-9,-1,12.14,12.14,0
11,-10,-1,12.63,12.63,0
0,-9,-1,13.13,13.13,0
0,0,0,21.85,21.85,0
9,-14,0,22.36,22.36,0
10,-14,0,22.86,22.86,0
11,-13,0,23.37,23.37,0
9,-5,0,23.87,23.87,0
8,-6,0,24.38,24.38,0
5,-13,0,24.87,24.87,0
10,-16,0,25.39,25.39,0
8,-16,0,25.88,25.88,0
7,-15,0,26.39,26.39,0
6,-14,0,26.89,26.89,0
5,-14,0,27.40,27.40,0
4,-14,0,27.90,27.90,0
5,-13,0,28.41,28.41,0
5,-13,0,28.91,28.91,0
5,-14,0,29.42,29.42,0
3,-12,0,29.91,29.91,0
7,-10,0,30.43,30.43,0
7,-8,0,30.92,30.92,0
6,-9,0,31.42,31.42,0
5,-9,0,0.38,31.93,0
7,-9,0,0.88,32.43,0
11,-8,0,1.39,32.94,0
12,-6,0,1.89,33.43,0
12,-5,0,2.40,33.95,0
13,-5,0,2.90,34.44,0
13,-5,0,3.41,34.96,0
13,-5,0,3.91,35.45,0
13,-5,0,0.40,35.96,0
14,-6,0,0.90,36.46,0
13,-6,0,1.41,36.97,0
14,-6,0,1.91,37.47,0
15,-7,0,2.42,37.98,0
15,-9,0,2.91,38.48,0
15,-8,0,3.41,38.97,0
14,-7,0,3.92,39.48,0
15,-6,0,0.42,40.00,0
