TESTE,0,12.63,3
teste,0,12.63,3
teste1,3,23.72,6
teste11,0,12.64,3
teste12,0,12.63,3
teste13,0,12.63,3
aaaa,0,40.00,3
teste14,0,24.73,3
teste21,0,12.63,3
teste22,0,12.63,3
teste23,0,12.63,3
teste31,0,49.92,1
aaaa,0,12.87,3
teste41,2,19.94,5
teste42,0,12.87,3
teste43,0,12.87,3
s,0,12.95,3
teste51,0,13.03,3
teste52,0,13.02,3
teste53,0,12.95,3
teste61,0,32.94,1
teste3010,48,137.82,51
testemovimento,2,19.98,5
testedeseq,2,19.98,5
aaaaa,3,24.03,6
teste,9,44.04,12
aaa,35,112.81,38
TESSSTE,7,36.63,10
Bruno_cinto,5,30.26,8
b,0,12.58,3
jenny,6,38.66,7
jenny,8,53.26,9
jenny,5,31.87,6
mmm,2,19.00,3
ca,3,30.59,4
c,4,37.19,5
c,6,37.09,7
bbbbb,7,36.64,10
ca,29,100.85,32
ca,33,108.90,36
Carina,38,119.53,41
kevin,4,26.89,7
Bruno_tes,34,112.73,37
julia,28,131.59,29
julia,50,142.77,53
teste,0,12.57,3
bia,24,129.58,25
julia,37,117.80,40
beatriz,40,123.52,43
lau,16,79.89,17
lau,7,43.98,8
laura,42,127.00,45
jp,25,126.55,26
jpjpjpjp,47,136.39,50
ihfh,0,12.50,3
tito,42,124.94,45
