X,Y,Z,tempo_obstaculo,tempo_total,pontuacao
X,Y,Z,tempo_obstaculo,tempo_total,pontuacao
359,1,331,2.05,2.05,0
358,2,337,2.57,2.57,0
359,1,334,3.06,3.06,0
359,1,341,3.57,3.57,0
359,2,344,4.07,4.07,0
359,2,343,4.58,4.58,0
359,2,342,5.08,5.08,0
358,1,327,5.59,5.59,0
358,2,326,0.47,6.09,0
358,2,333,0.96,6.58,0
359,1,343,1.48,7.09,0
358,1,324,1.97,7.59,0
358,2,334,2.48,8.10,0
359,1,341,2.98,8.60,0
359,1,334,0.04,9.11,0
358,2,329,0.54,9.61,0
359,2,336,1.05,10.12,0
359,1,345,1.55,10.61,0
359,2,339,2.06,11.13,0
358,2,333,2.56,11.62,0
358,2,327,3.07,12.14,0
359,2,333,0.05,12.63,0
