pontuacao,tempo_obstaculo,tempo_total
[0],5.46,5.48
[0],3.49,8.97
[0],3.51,12.48
X,Y,Z,tempo_obstaculo,tempo_total,pontuacao
X,Y,Z,tempo_obstaculo,tempo_total,pontuacao
-174,-83,-1,2.57,2.57,0
-174,-83,-1,3.06,3.06,0
-174,-83,-1,3.57,3.57,0
-174,-83,-1,4.07,4.07,0
-174,-83,-1,4.58,4.58,0
-174,-83,-1,5.08,5.08,0
-13,-51,-1,5.59,5.59,0
0,-13,-1,0.46,6.09,0
1,1,-1,0.96,6.58,0
0,6,-1,1.47,7.09,0
0,7,-1,1.97,7.59,0
0,7,-1,2.48,8.10,0
-2,7,-1,2.97,8.60,0
-7,9,-1,0.05,9.11,0
-8,17,-1,0.54,9.61,0
-5,26,-1,1.05,10.12,0
-4,40,-1,1.55,10.62,0
-3,46,-1,2.06,11.13,0
0,21,-1,0.09,12.63,0
